16/06/20223;322h336,0m3;3310,1°;331h330,9m3;3313,6°S;335h319,6m3;3347,0°;33;
17/06/20223;323h312,4m3;3303,6°;332h335,5m3;3315,9°S;336h342,1m3;3351,8°;33;
18/06/20223;323h339,1m3;3295,5°;333h335,2m3;3320,0°S;338h337,9m3;3359,2°;33;
19/06/20223;323h359,7m3;3286,5°;334h329,3m3;3325,2°S;339h331,4m3;3368,1°;33;
20/06/20223;33333333333;3333333;335h318,6m3;3331,1°S;310h350,4m3;3377,6°;33;
21/06/20223;330h317,0m3;3277,4°;336h334,3m3;3337,3°S;312h335,4m3;3387,1°;DQ;
22/06/20223;330h332,7m3;3268,3°;336h347,9m3;3343,4°S;313h317,6m3;3396,4°;33;
23/06/20223;330h348,2m3;3259,5°;337h330,8m3;3349,2°S;314h328,4m3;3105,2°;33;
24/06/20223;331h334,8m3;3251,2°;338h314,0m3;3354,6°S;315h338,7m3;3113,4°;33;
25/06/20223;331h323,7m3;3243,6°;338h358,6m3;3359,3°S;316h348,6m3;3120,7°;33;
26/06/20223;331h346,4m3;3237,0°;339h345,0m3;3363,1°S;317h357,0m3;3126,6°;33;
27/06/20223;332h314,9m3;3231,8°;310h333,4m3;3365,9°S;319h331,8m3;3130,8°;33;
28/06/20223;332h351,3m3;3228,3°;311h323,4m3;3367,4°S;319h359,9m3;3132,8°;33;
29/06/20223;333h337,1m3;3227,0°;312h314,2m3;3367,7°S;320h349,0m3;3132,4°;NL;
30/06/20223;334h332,3m3;3228,2°;313h334,5m3;3366,5°S;321h328,5m3;3129,7°;33;




01/07/20223;335h335,0m3;3231,7°;313h353,5m3;3364,2°S;321h359,4m3;3125,0°;33;
02/07/20223;336h342,4m3;3237,1°;314h340,5m3;3360,7°S;322h323,9m3;3118,8°;33;
03/07/20223;337h351,8m3;3243,9°;315h325,5m3;3356,3°S;322h343,9m3;3111,5°;33;
04/07/20223;339h331,8m3;3251,8°;316h339,0m3;3351,2°S;323h331,0m3;3103,5°;33;
05/07/20223;310h312,2m3;3260,4°;316h351,8m3;3345,5°S;323h316,7m3;3394,9°;33;
06/07/20223;311h323,7m3;3269,6°;317h335,0m3;3339,4°S;323h332,2m3;3385,9°;33;
07/07/20223;312h337,5m3;3279,1°;318h319,7m3;3333,3°S;323h348,7m3;3376,7°;PQ;
08/07/20223;313h354,9m3;3288,6°;319h337,5m3;3327,2°S;33333333333;3333333;33;
09/07/20223;315h316,9m3;3297,7°;319h359,8m3;3321,7°S;330h337,9m3;3367,7°;33;
10/07/20223;316h342,3m3;3305,8°;320h357,5m3;3317,2°S;330h332,0m3;3359,1°;33;
11/07/20223;318h337,0m3;3311,7°;322h330,7m3;3314,2°S;331h334,5m3;3351,9°;33;
12/07/20223;319h322,8m3;3314,1°;323h337,4m3;3313,3°S;331h350,0m3;3347,2°;33;
13/07/20223;320h323,0m3;3312,3°;33333333333;33333333;332h352,4m3;3346,0°;PL;
14/07/20223;321h336,9m3;3307,0°;330h314,3m3;3314,5°S;334h310,8m3;3349,0°;33;
15/07/20223;321h338,5m3;3299,3°;331h318,0m3;3317,9°S;335h338,0m3;3355,5°;33;
16/07/20223;322h332,2m3;3290,3°;332h316,4m3;3322,8°S;337h335,7m3;3364,1°;33;
17/07/20223;322h321,3m3;3280,9°;333h339,4m3;3328,6°S;338h329,6m3;3373,7°;33;
18/07/20223;322h338,0m3;3271,4°;333h358,1m3;3334,9°S;339h348,8m3;3383,6°;33;
19/07/20223;322h353,9m3;3262,3°;334h343,8m3;3341,3°S;311h334,2m3;3393,3°;33;
20/07/20223;323h310,3m3;3253,7°;335h327,9m3;3347,4°S;312h317,1m3;3102,5°;DQ;
21/07/20223;323h328,5m3;3245,8°;336h311,7m3;3353,0°S;313h328,6m3;3111,1°;33;
22/07/20223;323h350,0m3;3238,8°;336h356,2m3;3358,0°S;314h339,3m3;3118,7°;33;
23/07/20223;33333333333;3333333;337h342,2m3;3362,1°S;315h348,5m3;3125,1°;33;
24/07/20223;330h316,6m3;3233,1°;338h330,0m3;3365,2°S;316h354,7m3;3129,9°;33;
25/07/20223;330h350,4m3;3229,0°;339h319,6m3;3367,1°S;317h355,0m3;3132,6°;33;
26/07/20223;331h333,3m3;3227,1°;310h310,2m3;3367,8°S;318h346,9m3;3132,9°;33;
27/07/20223;332h325,8m3;3227,5°;311h330,9m3;3367,0°S;319h329,2m3;3130,8°;33;
28/07/20223;333h326,9m3;3230,4°;311h350,5m3;3365,0°S;320h332,5m3;3126,6°;NL;
29/07/20223;334h333,6m3;3235,3°;312h338,3m3;3361,8°S;320h328,7m3;3120,7°;33;
